"pkg" "Exp" "N" "X" "type" "PropSigM" "NbPaths" "NbSigPaths" "AvgRSq" "PropCond" "PropSigPaths" "Data"
"lavaan" 69 70 6 "exact" 0.9 1000 766 0.829180479854149 0.0672380952380952 0.766 "Exact"
"lavaan" 70 80 6 "exact" 0.95 1000 759 0.824166276412403 0.0417619047619048 0.759 "Exact"
"lavaan" 71 90 6 "exact" 0.89 1000 793 0.814126717019825 0.0549047619047619 0.793 "Exact"
"lavaan" 72 100 6 "exact" 0.89 1000 758 0.817395770078468 0.0581428571428571 0.758 "Exact"
"lavaan" 73 20 7 "exact" 0.82 1400 847 0.839860979246597 0.0619033189033189 0.605 "Exact"
"lavaan" 74 30 7 "exact" 0.92 1400 920 0.850699356775541 0.0271388888888889 0.657142857142857 "Exact"
"lavaan" 75 40 7 "exact" 0.9 1400 946 0.846550232135047 0.0428261183261183 0.675714285714286 "Exact"
"lavaan" 76 50 7 "exact" 0.87 1400 983 0.843957523240989 0.0648452380952381 0.702142857142857 "Exact"
"lavaan" 77 60 7 "exact" 0.9 1400 986 0.834603029622532 0.048267316017316 0.704285714285714 "Exact"
"lavaan" 78 70 7 "exact" 0.88 1400 1009 0.841189020787604 0.0651374458874459 0.720714285714286 "Exact"
"lavaan" 79 80 7 "exact" 0.94 1400 1017 0.835396585088366 0.0431551226551227 0.726428571428571 "Exact"
"lavaan" 80 90 7 "exact" 0.87 1400 1050 0.849508235481579 0.0600602453102453 0.75 "Exact"
"lavaan" 81 100 7 "exact" 0.92 1400 1026 0.849026295240222 0.0587308802308802 0.732857142857143 "Exact"
"lavaan" 82 20 8 "exact" 0.66 1900 1078 0.877301402831697 0.0728297813297813 0.567368421052632 "Exact"
"lavaan" 83 30 8 "exact" 0.89 1900 1179 0.862392489461695 0.0462782217782218 0.620526315789474 "Exact"
"lavaan" 84 40 8 "exact" 0.8 1900 1145 0.871801829947102 0.0563919968919969 0.602631578947368 "Exact"
"lavaan" 85 50 8 "exact" 0.84 1900 1228 0.86446075704944 0.0566985791985792 0.646315789473684 "Exact"
"lavaan" 86 60 8 "exact" 0.95 1900 1327 0.860820295814782 0.0588702963702964 0.698421052631579 "Exact"
"lavaan" 87 70 8 "exact" 0.91 1900 1286 0.866188250544613 0.0505086302586303 0.676842105263158 "Exact"
"lavaan" 88 80 8 "exact" 0.92 1900 1356 0.858229352572747 0.0526692751692752 0.713684210526316 "Exact"
"lavaan" 89 90 8 "exact" 0.89 1900 1285 0.860651026450602 0.0402789432789433 0.676315789473684 "Exact"
"lavaan" 90 100 8 "exact" 0.85 1900 1326 0.869852619650285 0.0375383505383505 0.697894736842105 "Exact"
"lavaan" 91 20 9 "exact" 0.71 2400 1361 0.868316350069557 0.0437198007231996 0.567083333333333 "Exact"
"lavaan" 92 30 9 "exact" 0.84 2400 1390 0.883893542916544 0.0493512963625866 0.579166666666667 "Exact"
"lavaan" 93 40 9 "exact" 0.79 2400 1418 0.877293542778835 0.0740545424647592 0.590833333333333 "Exact"
"lavaan" 94 50 9 "exact" 0.92 2400 1553 0.883834457458338 0.0563921299288946 0.647083333333333 "Exact"
"lavaan" 95 60 9 "exact" 0.86 2400 1519 0.8901997345174 0.0440467840982547 0.632916666666667 "Exact"
"lavaan" 96 70 9 "exact" 0.92 2400 1566 0.886823936961989 0.0378477188446229 0.6525 "Exact"
"lavaan" 97 80 9 "exact" 0.84 2400 1563 0.874391759036599 0.0497702750465908 0.65125 "Exact"
"lavaan" 98 90 9 "exact" 0.86 2400 1515 0.879316753979369 0.0459500717290965 0.63125 "Exact"
"lavaan" 99 100 9 "exact" 0.85 2400 1569 0.874036909855688 0.0476967470523972 0.65375 "Exact"
"lavaan" 100 20 10 "exact" 0.5 3000 1649 0.888053620978802 0.0547681142629823 0.549666666666667 "Exact"
"lavaan" 101 30 10 "exact" 0.74 3000 1614 0.895634789585797 0.0519049684924937 0.538 "Exact"
"lavaan" 102 40 10 "exact" 0.81 3000 1707 0.897709302640064 0.0529168959706482 0.569 "Exact"
"lavaan" 103 50 10 "exact" 0.88 3000 1787 0.885259567759974 0.0484656223878125 0.595666666666667 "Exact"
"lavaan" 104 60 10 "exact" 0.86 3000 1888 0.879864671012054 0.050923712880201 0.629333333333333 "Exact"
"lavaan" 105 70 10 "exact" 0.88 3000 1862 0.882716212299911 0.040007371078242 0.620666666666667 "Exact"
"lavaan" 106 80 10 "exact" 0.93 3000 1817 0.895724555742119 0.0450237567001432 0.605666666666667 "Exact"
"lavaan" 107 90 10 "exact" 0.81 3000 1836 0.891444493170389 0.0552149452123035 0.612 "Exact"
"lavaan" 108 100 10 "exact" 0.87 3000 1959 0.893289151904693 0.0448688435321428 0.653 "Exact"
"pcsem" 1 20 5 "exact" 0.96 700 484 0.808721903979142 0.0383333333333333 0.691428571428571 "Exact"
"pcsem" 2 30 5 "exact" 0.95 700 505 0.821657064791015 0.0375 0.721428571428571 "Exact"
"pcsem" 3 40 5 "exact" 0.98 700 494 0.823148152835952 0.0308333333333333 0.705714285714286 "Exact"
"pcsem" 4 50 5 "exact" 0.98 700 517 0.816021064071673 0.03 0.738571428571429 "Exact"
"pcsem" 5 60 5 "exact" 0.91 700 546 0.803620168538973 0.0575 0.78 "Exact"
"pcsem" 6 70 5 "exact" 0.96 700 566 0.820041898256216 0.0416666666666667 0.808571428571429 "Exact"
"pcsem" 7 80 5 "exact" 0.92 700 572 0.811990878368028 0.0541666666666667 0.817142857142857 "Exact"
"pcsem" 8 90 5 "exact" 0.95 700 548 0.818562592068866 0.0525 0.782857142857143 "Exact"
"pcsem" 9 100 5 "exact" 0.97 700 574 0.813851821231361 0.0475 0.82 "Exact"
"pcsem" 10 20 6 "exact" 0.99 1000 622 0.840402231424205 0.0518095238095238 0.622 "Exact"
"pcsem" 11 30 6 "exact" 0.94 1000 710 0.839931203546688 0.0674285714285714 0.71 "Exact"
"pcsem" 12 40 6 "exact" 0.94 1000 729 0.836990811642979 0.0298571428571429 0.729 "Exact"
"pcsem" 13 50 6 "exact" 0.98 1000 733 0.828104868960309 0.0462857142857143 0.733 "Exact"
"pcsem" 14 60 6 "exact" 0.95 1000 752 0.829503705195214 0.0537619047619048 0.752 "Exact"
"pcsem" 15 70 6 "exact" 0.95 1000 729 0.832137535153844 0.0512857142857143 0.729 "Exact"
"pcsem" 16 80 6 "exact" 0.94 1000 792 0.847373306556896 0.0488571428571429 0.792 "Exact"
"pcsem" 17 90 6 "exact" 0.95 1000 795 0.832933397996836 0.0582857142857143 0.795 "Exact"
"pcsem" 18 100 6 "exact" 0.95 1000 774 0.83518748665287 0.0568571428571429 0.774 "Exact"
"pcsem" 19 20 7 "exact" 0.97 1400 855 0.859094013287272 0.0433769841269841 0.610714285714286 "Exact"
"pcsem" 20 30 7 "exact" 0.94 1400 894 0.849602726098892 0.0519772727272727 0.638571428571429 "Exact"
"pcsem" 21 40 7 "exact" 0.95 1400 921 0.859831413427717 0.054244227994228 0.657857142857143 "Exact"
"pcsem" 22 50 7 "exact" 0.93 1400 972 0.844567252903527 0.060952380952381 0.694285714285714 "Exact"
"pcsem" 23 60 7 "exact" 0.98 1400 976 0.846970659306866 0.0408730158730159 0.697142857142857 "Exact"
"pcsem" 24 70 7 "exact" 0.97 1400 1036 0.863341290553619 0.0464444444444444 0.74 "Exact"
"pcsem" 25 80 7 "exact" 0.98 1400 1004 0.859004583786168 0.0453571428571429 0.717142857142857 "Exact"
"pcsem" 26 90 7 "exact" 0.96 1400 1032 0.83543135937397 0.0447622655122655 0.737142857142857 "Exact"
"pcsem" 27 100 7 "exact" 0.99 1400 1061 0.842239086383205 0.0535569985569986 0.757857142857143 "Exact"
"pcsem" 28 20 8 "exact" 0.97 1900 1031 0.865121797097982 0.0357057387057387 0.542631578947368 "Exact"
"pcsem" 29 30 8 "exact" 0.97 1900 1156 0.86779930429778 0.0458147963147963 0.608421052631579 "Exact"
"pcsem" 30 40 8 "exact" 0.95 1900 1224 0.874904805993075 0.045985680985681 0.644210526315789 "Exact"
"pcsem" 31 50 8 "exact" 0.99 1900 1213 0.872901348114358 0.0255201465201465 0.638421052631579 "Exact"
"pcsem" 32 60 8 "exact" 0.97 1900 1234 0.874847890658466 0.0575740370740371 0.649473684210526 "Exact"
"pcsem" 33 70 8 "exact" 0.97 1900 1254 0.875749443254623 0.0404456099456099 0.66 "Exact"
"pcsem" 34 80 8 "exact" 0.95 1900 1322 0.866349075548988 0.0411779331779332 0.695789473684211 "Exact"
"pcsem" 35 90 8 "exact" 0.96 1900 1388 0.867629748741992 0.0424996114996115 0.730526315789474 "Exact"
"pcsem" 36 100 8 "exact" 0.93 1900 1355 0.862978204042349 0.0671434121434121 0.713157894736842 "Exact"
"pcsem" 37 20 9 "exact" 0.93 2400 1241 0.876911821138277 0.0477486353515765 0.517083333333333 "Exact"
"pcsem" 38 30 9 "exact" 0.95 2400 1378 0.868850291739536 0.0517695629533865 0.574166666666667 "Exact"
"pcsem" 39 40 9 "exact" 0.95 2400 1447 0.870643583515303 0.0466567233506088 0.602916666666667 "Exact"
"pcsem" 40 50 9 "exact" 0.95 2400 1501 0.89731932496142 0.0465393546082401 0.625416666666667 "Exact"
"pcsem" 41 60 9 "exact" 0.97 2400 1582 0.880061570255681 0.0411709401709402 0.659166666666667 "Exact"
"pcsem" 42 70 9 "exact" 0.98 2400 1619 0.868427934529478 0.0439360647092845 0.674583333333333 "Exact"
"pcsem" 43 80 9 "exact" 0.96 2400 1616 0.881272254540083 0.0456842932179619 0.673333333333333 "Exact"
"pcsem" 44 90 9 "exact" 0.95 2400 1674 0.869116240648831 0.0498277759821877 0.6975 "Exact"
"pcsem" 45 100 9 "exact" 0.89 2400 1689 0.8714910295804 0.0595050408827499 0.70375 "Exact"
"pcsem" 46 20 10 "exact" 0.95 3000 1411 0.88023602012036 0.0484234087878589 0.470333333333333 "Exact"
"pcsem" 47 30 10 "exact" 0.94 3000 1568 0.895506447224631 0.0522031077035317 0.522666666666667 "Exact"
"pcsem" 48 40 10 "exact" 0.96 3000 1780 0.88238679939042 0.0511684976702005 0.593333333333333 "Exact"
"pcsem" 49 50 10 "exact" 0.96 3000 1786 0.899207319036199 0.0497687225396852 0.595333333333333 "Exact"
"pcsem" 50 60 10 "exact" 0.96 3000 1904 0.894339093167481 0.0391938889694981 0.634666666666667 "Exact"
"pcsem" 51 70 10 "exact" 0.9 3000 1886 0.889082510177073 0.0592021752824283 0.628666666666667 "Exact"
"pcsem" 52 80 10 "exact" 0.94 3000 1966 0.885780382203017 0.053818912011098 0.655333333333333 "Exact"
"pcsem" 53 90 10 "exact" 0.88 3000 1975 0.880473174448437 0.0560944844512014 0.658333333333333 "Exact"
"pcsem" 54 100 10 "exact" 0.9 3000 2028 0.88642936223489 0.0579123426159342 0.676 "Exact"
"lavaan" 55 20 5 "shuffled" 0.46 700 506 0.774219991572476 0.300833333333333 0.722857142857143 "Shuffled"
"lavaan" 56 30 5 "shuffled" 0.51 700 524 0.789757331953888 0.254166666666667 0.748571428571429 "Shuffled"
"lavaan" 57 40 5 "shuffled" 0.45 700 525 0.777287789149538 0.274166666666667 0.75 "Shuffled"
"lavaan" 58 50 5 "shuffled" 0.44 700 541 0.784155014949806 0.323333333333333 0.772857142857143 "Shuffled"
"lavaan" 59 60 5 "shuffled" 0.53 700 544 0.761255580233679 0.3075 0.777142857142857 "Shuffled"
"lavaan" 60 70 5 "shuffled" 0.47 700 536 0.78014933380927 0.301666666666667 0.765714285714286 "Shuffled"
"lavaan" 61 80 5 "shuffled" 0.42 700 560 0.741228290740361 0.355833333333333 0.8 "Shuffled"
"lavaan" 62 90 5 "shuffled" 0.42 700 546 0.76670796367051 0.361666666666667 0.78 "Shuffled"
"lavaan" 63 100 5 "shuffled" 0.41 700 580 0.767342937436141 0.320833333333333 0.828571428571429 "Shuffled"
"lavaan" 64 20 6 "shuffled" 0.31 1000 705 0.793505276268989 0.295261904761905 0.705 "Shuffled"
"lavaan" 65 30 6 "shuffled" 0.39 1000 707 0.793645985974145 0.271285714285714 0.707 "Shuffled"
"lavaan" 66 40 6 "shuffled" 0.4 1000 731 0.809791444240231 0.316488095238095 0.731 "Shuffled"
"lavaan" 67 50 6 "shuffled" 0.33 1000 741 0.801299895000992 0.28975 0.741 "Shuffled"
"lavaan" 68 60 6 "shuffled" 0.3 1000 747 0.823633695381561 0.292357142857143 0.747 "Shuffled"
"lavaan" 69 70 6 "shuffled" 0.3 1000 763 0.796882617172041 0.36252380952381 0.763 "Shuffled"
"lavaan" 70 80 6 "shuffled" 0.24 1000 761 0.774009296009091 0.397428571428571 0.761 "Shuffled"
"lavaan" 71 90 6 "shuffled" 0.24 1000 773 0.776142428178463 0.399107142857143 0.773 "Shuffled"
"lavaan" 72 100 6 "shuffled" 0.24 1000 822 0.784186886700652 0.433857142857143 0.822 "Shuffled"
"lavaan" 73 20 7 "shuffled" 0.25 1400 900 0.820671723817819 0.301841630591631 0.642857142857143 "Shuffled"
"lavaan" 74 30 7 "shuffled" 0.2 1400 985 0.820287013375096 0.352950937950938 0.703571428571429 "Shuffled"
"lavaan" 75 40 7 "shuffled" 0.22 1400 1002 0.814428568674162 0.365336219336219 0.715714285714286 "Shuffled"
"lavaan" 76 50 7 "shuffled" 0.15 1400 997 0.805240494924437 0.35672619047619 0.712142857142857 "Shuffled"
"lavaan" 77 60 7 "shuffled" 0.14 1400 1029 0.829430219587074 0.414646464646465 0.735 "Shuffled"
"lavaan" 78 70 7 "shuffled" 0.09 1400 1074 0.809029141238815 0.393777777777778 0.767142857142857 "Shuffled"
"lavaan" 79 80 7 "shuffled" 0.11 1400 1077 0.823966006468908 0.439416305916306 0.769285714285714 "Shuffled"
